data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
cifar10,vgg,apgd,0.031,0.0006000000000000001,0.0005477225575051661,0.032600000000000004,0.008018728078691785,0.0264,0.00594138031100518,0.0702,0.013141537200799606,0.0498,0.005069516742254628,0.12179999999999999,0.013845576911057192,0.0666,0.008018728078691782
cifar10,vgg,apgd,0.1,0.0,0.0,0.07039999999999999,0.021477895613863106,0.0264,0.00594138031100518,0.1038,0.019537144110642175,0.0498,0.005069516742254628,0.146,0.019339079605813717,0.0666,0.008018728078691782
cifar10,vgg,apgd,0.3,0.0,0.0,0.5122,0.16194968354399458,0.0264,0.00594138031100518,0.9461999999999999,0.04954492910480341,0.0498,0.005069516742254628,0.9478,0.04708715323737463,0.0666,0.008018728078691782
cifar10,vgg,apgd,0.6,0.0,0.0,0.9725999999999999,0.035613199800074144,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,apgd,1.0,0.0,0.0,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,apgd,1.5,0.0,0.0,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,apgd,2.0,0.0,0.0,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,apgd2,1.0,0.033800000000000004,0.006496152707564689,0.0656,0.002880972058177589,0.0264,0.00594138031100518,0.1002,0.010281050529979902,0.0498,0.005069516742254628,0.14800000000000002,0.013228756555322952,0.0666,0.008018728078691782
cifar10,vgg,apgd2,1.5,0.032,0.005567764362830022,0.0664,0.004929503017546493,0.0264,0.00594138031100518,0.1,0.013509256086106298,0.0498,0.005069516742254628,0.148,0.012429802894656032,0.0666,0.008018728078691782
cifar10,vgg,apgd2,2.0,0.031000000000000007,0.006123724356957947,0.066,0.0066332495807108,0.0264,0.00594138031100518,0.0988,0.015833508770957874,0.0498,0.005069516742254628,0.14600000000000002,0.011895377253370306,0.0666,0.008018728078691782
cifar10,vgg,apgd2,3.0,0.029400000000000003,0.005549774770204644,0.0678,0.005674504383644446,0.0264,0.00594138031100518,0.0996,0.011928956366757315,0.0498,0.005069516742254628,0.1468,0.010848963084092405,0.0666,0.008018728078691782
cifar10,vgg,apgd2,4.0,0.028000000000000004,0.005244044240850758,0.075,0.011247221879201998,0.0264,0.00594138031100518,0.1066,0.01527416118809802,0.0498,0.005069516742254628,0.14899999999999997,0.01621727474022684,0.0666,0.008018728078691782
cifar10,vgg,apgd2,5.0,0.0206,0.006268971207462992,0.0774,0.011907980517283355,0.0264,0.00594138031100518,0.1162,0.01562689988449404,0.0498,0.005069516742254628,0.1564,0.018474306482247176,0.0666,0.008018728078691782
cifar10,vgg,cw2,0.0,0.0,0.0,0.032600000000000004,0.006426507605223852,0.0264,0.00594138031100518,0.0704,0.012218837915284745,0.0498,0.005069516742254628,0.1234,0.013334166640626637,0.0666,0.008018728078691782
cifar10,vgg,cw2,5.0,0.0,0.0,0.0322,0.006610597552415364,0.0264,0.00594138031100518,0.0698,0.012255610959882831,0.0498,0.005069516742254628,0.1222,0.013718600511714016,0.0666,0.008018728078691782
cifar10,vgg,cw2,10.0,0.0,0.0,0.0322,0.006379655163094632,0.0264,0.00594138031100518,0.07,0.01228820572744451,0.0498,0.005069516742254628,0.1222,0.013160547101089689,0.0666,0.008018728078691782
cifar10,vgg,deepfool,0.0,0.09159999999999999,0.0063482280992415525,0.12079999999999999,0.008899438184514802,0.0264,0.00594138031100518,0.156,0.01713184169901181,0.0498,0.005069516742254628,0.2064,0.019994999374843704,0.0666,0.008018728078691782
cifar10,vgg,fgsm,0.031,0.089,0.011335784048754634,0.11939999999999999,0.011148990985734995,0.0264,0.00594138031100518,0.15220000000000003,0.017268468374467952,0.0498,0.005069516742254628,0.19979999999999998,0.01746997424153796,0.0666,0.008018728078691782
cifar10,vgg,fgsm,0.1,0.0362,0.003033150177620621,0.1768,0.04997199215560652,0.0264,0.00594138031100518,0.262,0.0418330013267038,0.0498,0.005069516742254628,0.3426,0.022322634253152115,0.0666,0.008018728078691782
cifar10,vgg,fgsm,0.3,0.0968,0.009884331034521259,0.8452,0.1764446088720197,0.0264,0.00594138031100518,0.9996,0.000894427190999926,0.0498,0.005069516742254628,0.9996,0.000894427190999926,0.0666,0.008018728078691782
cifar10,vgg,fgsm,0.6,0.0986,0.005856620185738532,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,fgsm,1.0,0.0968,0.006058052492344384,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,fgsm,1.5,0.0968,0.006058052492344384,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,fgsm,2.0,0.0968,0.006058052492344384,1.0,0.0,0.0264,0.00594138031100518,1.0,0.0,0.0498,0.005069516742254628,1.0,0.0,0.0666,0.008018728078691782
cifar10,vgg,line,1.0,0.7562,0.017655027612552828,0.7642,0.017512852423291897,0.0264,0.00594138031100518,0.775,0.019786358937409338,0.0498,0.005069516742254628,0.79,0.019,0.0666,0.008018728078691782
